INDEX,VEHICLE ID,LOCAL DATE,LOCAL TIME,LATITUDE,N/S,LONGITUDE,E/W
334,2731,2014/6/10,11:00:00,39.97027,N,116.41869,E
672,2781,2014/6/10,11:00:00,39.94757,N,116.38253,E
1354,2976,2014/6/10,11:00:00,39.96297,N,116.49385,E
1385,2982,2014/6/10,11:00:00,39.89642,N,116.36828,E
1839,3071,2014/6/10,11:00:00,40.06035,N,116.57194,E
2219,3361,2014/6/10,11:00:00,39.85213,N,116.35243,E
2832,3838,2014/6/10,11:00:00,39.9069,N,116.44687,E
3914,5812,2014/6/10,11:00:00,40.2023,N,117.19685,E
3975,5832,2014/6/10,11:00:00,39.90387,N,116.45548,E
7191,9324,2014/6/10,11:00:00,40.08842,N,116.27419,E
7400,9425,2014/6/10,11:00:00,39.98552,N,116.33429,E
7611,9463,2014/6/10,11:00:00,39.88632,N,116.31186,E
8107,10294,2014/6/10,11:00:00,39.8715,N,116.47207,E
57,2072,2014/6/10,11:00:01,39.95817,N,116.40175,E
795,2798,2014/6/10,11:00:01,39.92307,N,116.28331,E
1987,3119,2014/6/10,11:00:01,39.90833,N,116.5711,E
2249,3364,2014/6/10,11:00:01,39.86892,N,116.38152,E
2328,3423,2014/6/10,11:00:01,39.93171,N,116.37387,E
3330,4692,2014/6/10,11:00:01,39.96635,N,116.24813,E
4291,6259,2014/6/10,11:00:01,39.93428,N,116.49344,E
4912,6566,2014/6/10,11:00:01,39.97843,N,116.56174,E
6388,7184,2014/6/10,11:00:01,40.10803,N,116.27866,E
6688,8162,2014/6/10,11:00:01,39.93556,N,116.06708,E
7151,8413,2014/6/10,11:00:01,40.01565,N,116.28025,E
7410,9427,2014/6/10,11:00:01,39.96389,N,116.38856,E
445,2745,2014/6/10,11:00:02,39.96863,N,116.49176,E
561,2765,2014/6/10,11:00:02,39.89193,N,116.36256,E
2546,3510,2014/6/10,11:00:02,39.99883,N,116.38089,E
3195,4664,2014/6/10,11:00:02,39.99832,N,116.49601,E
